latitude,longitude
41.0618569,28.6878197
41.0620669,28.6876745
41.0621453,28.6875973
41.0621693,28.6873019
41.0622597,28.687161
41.0624448,28.6869855
41.0624696,28.6868107
41.0625493,28.6866328
41.0621847,28.686472
41.0620941,28.6865691
41.0620146,28.6868454
41.0619541,28.6870036
41.0617427,28.6874701
41.0612944,28.6869252
41.0614551,28.686553
41.0611143,28.6873035
41.0611008,28.6876303
41.0600444,28.6880999
41.0601831,28.6884886
41.0633498,28.6882687
41.0634556,28.6882311
41.0637525,28.6876875
41.0637685,28.6875904
41.0638444,28.6874182
41.0638425,28.6873417
41.0638652,28.6873367
41.0640347,28.687144
41.0640766,28.6870631
41.0641285,28.6869858
41.0642465,28.6867125
41.0642747,28.6866919
41.064387,28.6864241
41.0641619,28.687369
41.0638682,28.6877434
41.0638726,28.6878411
41.0629217,28.6862047
41.0629824,28.6860882
41.0631133,28.6859813
41.0628789,28.6857795
41.0627263,28.6856306
41.0625786,28.6854147
41.0634485,28.6856403
41.0638732,28.6849584
41.0638062,28.6833425
41.0636749,28.6829273
41.0637734,28.6824485
41.06343,28.6823882
41.063271,28.682358
41.0623058,28.6835394
41.0689773,28.6837988
41.0701563,28.6851991
41.0701702,28.6854301
41.0702079,28.6860481
41.0702689,28.6864845
41.0705869,28.6875225
41.072304,28.6893556
41.0673647,28.691469
41.0674293,28.6915499
41.0678544,28.6906173
41.0680676,28.6903563
41.0695911,28.6908881
41.0699313,28.6907702
41.0696156,28.6914654
41.0683614,28.6933182
41.0655788,28.6943636
41.0658987,28.6953571
41.0608309,28.6977709
41.0603468,28.6987055
41.0598711,28.6992785
41.0716662,28.6938781
41.0726743,28.6938086
41.0755976,28.6951657
41.0757132,28.6950279
41.0777979,28.6941126
41.0723362,28.6894698
41.0727491,28.6821205
41.0725553,28.6807442
41.0816371,28.6838324
41.0827506,28.6775379
41.0851457,28.6702044
41.0784641,28.6674422
41.0786786,28.6648675
41.0759164,28.6675405
41.075832,28.6674493
41.0757431,28.6676042
41.0757921,28.6676538
41.0758533,28.6677115
41.0756839,28.6675385
41.0747434,28.6670819
41.0742358,28.6664321
41.0737607,28.6664343
41.0727897,28.6657084
41.07245,28.666299
41.0703793,28.6660492
41.0691117,28.666629
41.0690443,28.6666984
41.0751356,28.6573906
41.0760063,28.6563016
41.0762591,28.6562976
41.0890199,28.6496778
41.0914407,28.6494845
41.092184,28.6467548
41.0914922,28.6462711
41.0881597,28.6825033
41.0983769,28.6762492
41.0995504,28.6722004
41.099938,28.6717876
41.1006852,28.6706107
41.1002666,28.6699102
41.1010799,28.6686011
41.105383,28.6691296
41.0903271,28.6534756
41.0809431,28.7213747
41.0806562,28.7216852
41.0830458,28.7407562
41.0752354,28.7416881
41.0773076,28.7487784
41.0745969,28.7494145
41.0737367,28.7502826
41.073809,28.7505153
41.0738958,28.7509008
41.0733183,28.7503792
41.0730152,28.7516759
41.0743446,28.7518858
41.0730132,28.7487474
41.0701981,28.7477533
41.0696759,28.7478894
41.0643299,28.7515568
41.0633215,28.746725
41.0632091,28.7464869
41.0635802,28.7466293
41.0671485,28.7335013
